index_cafeteria,인허가일자,영업상태구분코드,소재지전체주소,Latitude,Longitude,사업장명,업태구분명,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
7502,2023-08-16,1,강원특별자치도 춘천시 석사동 654-19,37.8594451,127.7401659,백돈춘천점,기타,86.13,2023-08-16 14:35:53,강원특별자치도,춘천시,석사동,654-19
7519,2023-08-09,1,강원특별자치도 춘천시 석사동 885-3,37.8523395,127.7451961,야미마라탕,중국식,96.0,2023-08-11 16:34:22,강원특별자치도,춘천시,석사동,885-3
7523,2023-08-11,1,강원특별자치도 춘천시 효자동 590-48,37.8691666,127.725577,곰소젓갈밥상,한식,87.84,2023-08-11 16:26:26,강원특별자치도,춘천시,효자동,590-48
7524,2023-08-11,1,강원특별자치도 춘천시 효자동 652-3,37.87547,127.7354998,호앤호,기타,112.0,2023-08-21 16:31:40,강원특별자치도,춘천시,효자동,652-3
7526,2023-08-04,1,강원특별자치도 춘천시 효자동 305-46,37.8649466,127.7349554,넘버25호텔남춘천점,기타,53.04,2023-08-07 8:58:17,강원특별자치도,춘천시,효자동,305-46
7535,2023-07-06,1,강원특별자치도 춘천시 석사동 818-13,37.8555626,127.7460966,피시프레시,기타,200.83,2023-07-31 15:29:37,강원특별자치도,춘천시,석사동,818-13
7542,2023-06-30,1,강원특별자치도 춘천시 효자동 604-2,37.8760883,127.7375541,못생긴핫도그,한식,26.25,2023-07-24 17:49:01,강원특별자치도,춘천시,효자동,604-2
7544,2023-07-27,1,강원특별자치도 춘천시 석사동 640-10,37.8606319,127.7435896,베러인타임(better in time),한식,82.88,2023-08-08 17:22:04,강원특별자치도,춘천시,석사동,640-10
7545,2023-09-06,1,강원특별자치도 춘천시 효자동 655,37.8761756,127.7341208,명륜진사갈비춘천효자점,식육(숯불구이),419.58,2023-09-06 10:21:39,강원특별자치도,춘천시,효자동,655
7547,2023-09-11,1,강원특별자치도 춘천시 효자동 632,37.8730008,127.7449182,왕가탕후루 강원대점,기타,20.0,2023-09-20 10:42:38,강원특별자치도,춘천시,효자동,632
