기존 열 (구분/순서),번호,사업장명,img,Latitude,Longitude,openTime,closeTime,소재지전체주소,업태구분명,(공공데이터상 분류),인허가일자,영업상태구분코드,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
변경된 이름,index_cafeteria,cafeteria_name,img,Latitude,Longitude,openTime,closeTime,소재지전체주소,label_zero-shot,cafeteria_type_orignal,인허가일자,영업상태구분코드,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
,9692,효자소머리해장국,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170530_5%2F14961294693298Cmns_JPEG%2F186480566129.jpg,37.8693187,127.7301002,,,강원특별자치도 춘천시 효자동 670-8,기타,한식,2003-04-11,1,39.82,2022-02-07 10:36:31,강원특별자치도,춘천시,효자동,670-8
,8187,레드립(Red Lip),https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170731_173%2F15014810119378QEaJ_JPEG%2F186681553351.jpg,37.8505109,127.7496138,,,강원특별자치도 춘천시 석사동 907-10 (1층),기타,감성주점,2009-07-08,1,96.3,2017-07-21 13:33:52,강원특별자치도,춘천시,석사동,907-10 (1층)
,8515,경화루,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180103_262%2F1514959007017UjF1W_JPEG%2FqrKWcc8gdmE375HBeSgd8kzl.jpg,37.8697679,127.7310723,,,강원특별자치도 춘천시 효자동 669-11,기타,중국식,1993-02-26,1,0,2022-01-19 11:48:34,강원특별자치도,춘천시,효자동,669-11
,10784,알라딘,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181231_34%2F1546227598365ENV8b_JPEG%2FcLwjh6o3Wg_aWswe76L2a_Ta.jpg,37.8726919,127.7453151,,,강원특별자치도 춘천시 효자동 632-26,기타,기타,2022-11-10,1,126.28,2022-11-14 14:17:51,강원특별자치도,춘천시,효자동,632-26
,9273,써니7080,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190124_107%2F1548326271634X1Kgy_JPEG%2FVkLGj6Zes5GZO6BUOsb8WjcS.jpg,37.859064,127.7413216,,,강원특별자치도 춘천시 석사동 651-12 지하,기타,라이브카페,1996-12-11,1,73.7,2019-04-09 13:20:23,강원특별자치도,춘천시,석사동,651-12 지하
,8183,쏘마,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190325_222%2F1553504366293KwvVf_JPEG%2FzwUXwbgmoBmbwBIFpYfz3sAW.jpeg.jpg,37.870285,127.7273189,,,강원특별자치도 춘천시 효자동 673-12,기타,호프/통닭,2009-06-11,1,26.6,2021-12-23 17:08:10,강원특별자치도,춘천시,효자동,673-12
,9673,정통매운갈비찜,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190704_87%2F1562221216766yw2Xu_JPEG%2FbfZCLZ47Cz5QDXf39k3FiCmG.jpg,37.8697616,127.7274923,,,강원특별자치도 춘천시 효자동 685-8,기타,기타,2013-06-10,1,75,2022-01-19 13:55:18,강원특별자치도,춘천시,효자동,685-8
,8216,열린무대,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200620_198%2F1592626455866xnIrV_JPEG%2Ftp8lRUcKCkJh1hjr10uDNTv1.jpg,37.874279,127.7415596,,,강원특별자치도 춘천시 효자동 618-4,기타,라이브카페,1997-09-26,1,95.97,2021-04-29 11:05:09,강원특별자치도,춘천시,효자동,618-4
,8253,홍탁삼합,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_111%2F1607544832526OHRLy_JPEG%2FsJp_lD54P0LPfzLKVGNeg6dj.jpg,37.8650479,127.7516139,,,강원특별자치도 춘천시 석사동 747-4,기타,정종/대포집/소주방,2008-06-05,1,48.5,2020-06-29 16:45:14,강원특별자치도,춘천시,석사동,747-4
