index_cafeteria,cafeteria_name,label,cafeteria_type_orignal,label_zero-shot,img,Latitude,Longitude,openTime,closeTime,소재지전체주소,인허가일자,영업상태구분코드,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
11667,호반푸드,고기/구이,식육(숯불구이),기타,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220327_157%2F1648341996870tvlxH_JPEG%2F%25C8%25A3%25B9%25DD%25C7%25AA%25B5%25E5.jpg,37.8496698,127.7501828,,,강원특별자치도 춘천시 석사동 913-3,2020-12-21,1,107,2022-01-20 9:49:05,강원특별자치도,춘천시,석사동,913-3
8814,미고토국물닭발,고기/구이,식육(숯불구이),기타,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_22%2F1673518106322EhrRF_JPEG%2FKakaoTalk_20230111_181325102.jpg,37.8756525,127.7365044,,,강원특별자치도 춘천시 효자동 648-2,2000-09-30,1,41.64,2022-10-25 11:38:24,강원특별자치도,춘천시,효자동,648-2
10443,돈우정,고기/구이,한식,고기/구이,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230903_288%2F16936692947315j1R7_JPEG%2F%25B5%25B7%25BF%25EC%25C1%25A41.jpg,37.8480663,127.7534874,,,강원특별자치도 춘천시 석사동 966-3,2023-05-01,1,120.62,2023-05-23 13:42:43,강원특별자치도,춘천시,석사동,966-3
7727,효자황태구이,고기/구이,한식,백반,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_221%2F1440987084198ulNxH_JPEG%2F11865319_0.jpg,37.865992,127.7311247,,,강원특별자치도 춘천시 효자동 705-18 (1~2층),2005-04-28,1,165.9,2021-04-12 10:26:30,강원특별자치도,춘천시,효자동,705-18 (1~2층)
8886,운수대통닭갈비,고기/구이,한식,고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_236%2F1440995048865uojMM_JPEG%2F11549268_0.jpg,37.8737783,127.7432229,,,강원특별자치도 춘천시 효자동 626-18,1996-04-16,1,41.48,2022-06-30 7:12:35,강원특별자치도,춘천시,효자동,626-18
7961,청미래닭갈비,고기/구이,한식,치킨,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_245%2F1440988371437kJDRX_JPEG%2F11868683_0.jpg,37.8731722,127.7453364,,,강원특별자치도 춘천시 효자동 631-16,2003-02-06,1,0,2022-02-07 10:25:51,강원특별자치도,춘천시,효자동,631-16
9063,참맛부흥닭갈비,고기/구이,한식,기타,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_188%2F1441047503827ICdtb_JPEG%2F11823756_0.jpg,37.8739439,127.7432727,,,강원특별자치도 춘천시 효자동 625-5,1999-06-29,1,49.4,2022-02-07 9:28:29,강원특별자치도,춘천시,효자동,625-5
8788,강대곱창타운,고기/구이,호프/통닭,분식,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150903_259%2F1441244226439sKwnf_JPEG%2F166779405551118_0.jpeg,37.87329,127.7441973,,,강원특별자치도 춘천시 효자동 628-12,1995-12-19,1,74.2,2022-01-19 13:19:39,강원특별자치도,춘천시,효자동,628-12
8888,이모네돼지갈비부속구이,고기/구이,호프/통닭,기타,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161107_216%2F1478486074213rX1Yl_JPEG%2F177057516454066_0.jpeg,37.8668627,127.7520716,,,강원특별자치도 춘천시 석사동 737-8,2001-03-21,1,75.6,2022-02-07 9:46:57,강원특별자치도,춘천시,석사동,737-8
9851,다릿골소나무,고기/구이,식육(숯불구이),고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161124_243%2F14799525695843B0ru_JPEG%2F177074508629.,37.8654063,127.753586,,,강원특별자치도 춘천시 석사동 733-18,2011-11-14,1,53.43,2012-04-06 10:02:51,강원특별자치도,춘천시,석사동,733-18
8580,륭림닭발1호점,고기/구이,기타,회,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161207_45%2F1481090252063xzck1_PNG%2Fimage.,37.8738188,127.74163,,,"강원특별자치도 춘천시 효자동 617-9 (3동,1층)",2007-10-24,1,83.78,2022-12-22 16:48:15,강원특별자치도,춘천시,효자동,"617-9 (3동,1층)"
9990,부산산꼼장어,고기/구이,기타,고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170207_282%2F1486442277962bmqA4_JPEG%2F186157536777.jpg,37.8661263,127.7525467,,,강원특별자치도 춘천시 석사동 735-11,2010-08-25,1,113.01,2018-12-20 17:14:55,강원특별자치도,춘천시,석사동,735-11
11453,형제육회,고기/구이,식육(숯불구이),기타,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170406_205%2F14914398041594RALi_PNG%2F_2.png,37.8482667,127.7512599,,,강원특별자치도 춘천시 석사동 949-3,2014-09-02,1,114.26,2022-01-19 14:41:27,강원특별자치도,춘천시,석사동,949-3
9194,내린천,고기/구이,호프/통닭,고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170419_276%2F14925832698249U5gh_JPEG%2F6.jpg,37.8604207,127.7434041,,,강원특별자치도 춘천시 석사동 640-8,2001-06-27,1,120.9,2021-04-11 22:34:28,강원특별자치도,춘천시,석사동,640-8
8225,소양강숯불오리,고기/구이,한식,회,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170422_269%2F1492840277877Ylp3R_JPEG%2F186372548137530_0.jpg,37.8715436,127.7264579,,,강원특별자치도 춘천시 효자동 547,2002-04-22,1,65.43,2011-11-24 10:40:34,강원특별자치도,춘천시,효자동,547
11266,유명한맛돼지,고기/구이,식육(숯불구이),고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170512_199%2F14945715106060FDD2_JPEG%2F186462557530_0.jpg,37.8510512,127.7452246,,,강원특별자치도 춘천시 석사동 888-5,2016-08-24,1,142.55,2022-02-07 17:33:22,강원특별자치도,춘천시,석사동,888-5
9093,퇴계골,고기/구이,한식,고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170515_175%2F14948090040663dy0l_JPEG%2F20170504_0950221.jpg,37.8488972,127.7510086,,,강원특별자치도 춘천시 석사동 921-5 (1층),1997-03-10,1,103.05,2021-12-19 16:45:10,강원특별자치도,춘천시,석사동,921-5 (1층)
8491,삼락,고기/구이,한식,고기/구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170530_7%2F1496121226355yuJYA_JPEG%2F186480544363.jpg,37.8612836,127.7427276,,,강원특별자치도 춘천시 석사동 639-5,2005-12-09,1,147.72,2017-11-28 17:31:16,강원특별자치도,춘천시,석사동,639-5
