index_cafeteria,cafeteria_name,img,Latitude,Longitude,openTime,closeTime,소재지전체주소,label_zero-shot,cafeteria_type_orignal,인허가일자,영업상태구분코드,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
10285,피자피크춘천점,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230508_19%2F1683511239981RDPfg_JPEG%2F1683338997020.jpg,37.879072,127.7418332,,,강원특별자치도 춘천시 효자동 757-13,양식,기타,2023-04-17,1,102.6,2023-04-28 9:27:34,강원특별자치도,춘천시,효자동,757-13
10199,우리동네전포차,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230808_61%2F1691454969125zfPup_JPEG%2F20230808_084509.jpg,37.8607572,127.7411536,,,강원특별자치도 춘천시 석사동 698-1,치킨,한식,2022-06-03,1,47,2023-07-31 17:08:04,강원특별자치도,춘천시,석사동,698-1
9338,활어포차본점,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230810_282%2F1691676858321WgwXu_JPEG%2F20230807_203007.jpg,37.8670649,127.752952,,,강원특별자치도 춘천시 석사동 736-3,회,한식,2002-09-03,1,112.73,2023-07-20 14:19:29,강원특별자치도,춘천시,석사동,736-3
10443,돈우정,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230903_288%2F16936692947315j1R7_JPEG%2F%25B5%25B7%25BF%25EC%25C1%25A41.jpg,37.8480663,127.7534874,,,강원특별자치도 춘천시 석사동 966-3,고기/구이,한식,2023-05-01,1,120.62,2023-05-23 13:42:43,강원특별자치도,춘천시,석사동,966-3
9332,페리카나팔호광장점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_137%2F1441031299267rDvNo_JPEG%2F166176615327626_0.jpg,37.8761464,127.7358665,,,강원특별자치도 춘천시 효자동 653,치킨,통닭(치킨),1987-04-13,1,24.18,2022-01-18 14:42:02,강원특별자치도,춘천시,효자동,653
7727,효자황태구이,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_221%2F1440987084198ulNxH_JPEG%2F11865319_0.jpg,37.865992,127.7311247,,,강원특별자치도 춘천시 효자동 705-18 (1~2층),백반,한식,2005-04-28,1,165.9,2021-04-12 10:26:30,강원특별자치도,춘천시,효자동,705-18 (1~2층)
9429,밀밭해물칼국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_23%2F1440992436114LSlni_JPEG%2F106654496352523_0.jpg,37.8676953,127.7287877,,,강원특별자치도 춘천시 효자동 697-2,국수,한식,1998-04-11,1,67.78,2018-07-31 17:32:52,강원특별자치도,춘천시,효자동,697-2
8886,운수대통닭갈비,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_236%2F1440995048865uojMM_JPEG%2F11549268_0.jpg,37.8737783,127.7432229,,,강원특별자치도 춘천시 효자동 626-18,고기/구이,한식,1996-04-16,1,41.48,2022-06-30 7:12:35,강원특별자치도,춘천시,효자동,626-18
7961,청미래닭갈비,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_245%2F1440988371437kJDRX_JPEG%2F11868683_0.jpg,37.8731722,127.7453364,,,강원특별자치도 춘천시 효자동 631-16,치킨,한식,2003-02-06,1,0,2022-02-07 10:25:51,강원특별자치도,춘천시,효자동,631-16
8571,양구함흥손냉면,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_296%2F1441031813585Gz6zw_JPEG%2F12868940_0.jpg,37.8489991,127.7511091,,,강원특별자치도 춘천시 석사동 921-4 (1층),양식,한식,2006-11-06,1,104.58,2021-08-13 13:06:18,강원특별자치도,춘천시,석사동,921-4 (1층)
